distrito,municipio,seccion,tipo,codigo,listaNominal,rppv,boletaSobrante,noElectoresVotaron,rppvotaron,sumaCyD,boetasExtraidasUrna,pan,pri,verde,pt,mc,morena,verde-morena,CNR,VN,sumaTotal
25,34,655,CONTIGUA 1,C1,568,12,271,304,5,0,0,22,0,46,28,87,115,1,0,10,309
25,34,655,CONTIGUA 2,C2,567,12,303,271,5,0,0,19,0,28,21,84,112,3,0,9,276
25,34,4905,BÁSICA,B1,640,12,292,353,7,0,0,30,1,13,67,157,71,7,0,14,360
25,34,4905,CONTIGUA 1,C1,640,12,305,0,0,0,0,25,3,12,89,130,76,6,0,5,346
25,34,4905,CONTIGUA 2,C2,639,12,284,0,0,0,0,35,1,19,84,144,71,2,0,11,367
25,34,4905,CONTIGUA 3,C3,639,12,299,0,0,0,0,22,0,12,85,152,67,5,0,9,352
25,34,4906,BÁSICA,B1,573,12,280,0,0,0,0,19,0,5,48,155,57,10,0,11,305
25,34,4906,CONTIGUA 1,C1,572,12,299,283,3,0,0,16,0,5,42,145,62,4,0,11,285
25,34,4906,CONTIGUA 2,C2,572,12,292,0,0,0,0,21,0,10,35,136,73,8,0,9,292
25,34,4906,CONTIGUA 3,C3,572,12,279,300,5,0,0,18,0,12,56,137,66,4,0,12,305
